股票代码,股票名称,市场板块,所属级别,形态名称,形态英文,信号方向,出现日期,信号强度,放量倍数,现价,涨跌幅%,近一年涨停次数,多级别共振
688056,莱伯泰科,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,6.28,64.55,101.78,1,是
301234,五洲医疗,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.51,65.89,100.33,5,是
300615,欣天科技,创业,周线,启明星,Morning Star,看涨,2026-08-07,100,2.75,17.19,97.81,4,否
688137,近岸蛋白,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,2.81,69.58,97.5,2,是
600664,哈药股份,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,6.31,5.89,96.99,12,是
600397,江钨装备,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.93,27.23,95.34,20,是
301611,珂玛科技,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.41,180.07,94.59,1,是
300534,陇神戎发,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,5.19,13.73,93.93,4,是
600578,京能电力,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-05-29,100,6.03,9.38,92.21,10,是
300795,米奥会展,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,4.41,16.44,92.06,5,是
300671,富满微,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.92,86.16,91.68,1,否
301396,宏景科技,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,99.1,1.59,331.6,88.62,9,否
301072,中捷精工,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,3.13,41.01,86.41,0,是
603650,彤程新材,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.49,97.98,85.99,7,是
603318,水发燃气,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-04-30,100,3.57,14.26,81.19,16,是
603929,亚翔集成,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.98,272.02,79.91,27,是
688073,毕得医药,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,2.07,83.34,76.46,2,否
002552,宝鼎科技,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.07,60.65,73.04,22,是
003032,传智教育,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.9,8.81,71.07,9,是
300996,普联软件,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.55,18.62,70.98,2,否
002972,科安达,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,3,19.56,68.19,1,是
600272,开开实业,上证,月线,启明星,Morning Star,看涨,2026-08-14,100,1.52,17.6,68.1,8,是
688693,锴威特,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,0.43,93.38,67.5,4,是
688689,银河微电,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.15,64.72,67.02,0,是
688376,美埃科技,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.02,116.3,66.81,3,否
688332,中科蓝讯,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.84,157.5,66.72,1,是
301251,威尔高,创业,周线,启明星,Morning Star,看涨,2026-08-07,100,1.76,46.58,65.41,3,否
688106,金宏气体,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,3.68,41.48,64.86,1,是
002515,金字火腿,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.87,10.01,62.5,9,是
002631,德尔未来,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.81,11.29,61.52,12,否
300663,科蓝软件,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,2.33,10.62,59.46,1,否
300663,科蓝软件,创业,月线,启明星,Morning Star,看涨,2026-07-31,100,2.33,10.62,59.46,1,否
002141,贤丰控股,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,3.93,5.26,58.91,18,是
002068,黑猫股份,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.14,15.03,58.88,8,否
301230,泓博医药,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.64,38.59,57.9,2,是
605365,立达信,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-04-30,100,2.9,29.47,57.51,7,是
688012,中微公司,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.61,468.5,57.38,0,否
002792,通宇通讯,深证,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,0.82,37.19,56.52,23,是
300684,中石科技,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.38,67.36,55.53,2,是
300903,科翔股份,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,1.35,72.33,54.62,5,是
605068,明新旭腾,上证,周线,启明星,Morning Star,看涨,2026-07-31,100,2.9,21.69,54.27,10,否
600683,京投发展,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,89.2,0.51,11.64,54.17,25,否
603330,天洋新材,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.79,10.68,54.11,11,是
688502,茂莱光学,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.67,693.6,53.45,1,是
002792,通宇通讯,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.81,36.34,52.95,23,是
300720,海川智能,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.06,96.2,52.7,2,是
000802,北京文化,深证,月线,启明星,Morning Star,看涨,2026-08-14,100,1.97,5.92,52.58,7,否
603823,百合花,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,0.9,70.99,51.69,20,是
000032,深桑达Ａ,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.27,24.95,51.49,6,否
600988,赤峰黄金,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,1.46,39.56,50.3,6,否
600141,兴发集团,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,3.22,46.97,50.26,4,是
300985,致远新能,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,92,0.68,42.05,49.8,2,否
688115,思林杰,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.76,82.25,49.55,1,是
300720,海川智能,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,1.5,75.95,49.51,2,是
605179,一鸣食品,上证,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,2.8,19.37,49,10,否
688530,欧莱新材,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,91.7,1.43,61.55,49,3,否
002842,翔鹭钨业,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.33,48.2,48.95,23,否
688202,美迪西,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.09,108.76,48.54,0,是
300795,米奥会展,创业,周线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,7.1,16.44,48.51,5,是
688378,奥来德,科创,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.52,62,48.5,1,否
301297,富乐德,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.79,61.24,48.46,0,是
301209,联合化学,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-08-14,100,1.03,58.45,47.97,1,是
688549,中巨芯,科创,周线,看涨吞没,Bullish Engulfing,看涨,2026-08-07,100,1.57,28.77,47.31,4,否
000676,智度股份,深证,月线,看涨吞没,Bullish Engulfing,看涨,2026-07-31,100,2.67,7.49,46.58,7,是
000676,智度股份,深证,月线,启明星,Morning Star,看涨,2026-07-31,100,2.67,7.49,46.58,7,是
300540,蜀道装备,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.61,37.9,46.56,5,否
300435,中泰股份,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,1.76,27.07,46.4,1,是
603813,原尚股份,上证,月线,看涨吞没,Bullish Engulfing,看涨,2026-04-30,100,0.72,37,46.07,2,是
300497,富祥股份,创业,月线,看涨吞没,Bullish Engulfing,看涨,2026-06-30,100,2.06,22.16,44.84,2,是
603439,三力制药,上证,月线,启明星,Morning Star,看涨,2026-05-29,100,2.93,16.28,44.71,2,是
